Entity,Day,Cases
Colombia,2020-03-01,0
Colombia,2020-03-02,0
Colombia,2020-03-03,0
Colombia,2020-03-04,0
Colombia,2020-03-05,0
Colombia,2020-03-06,0
Colombia,2020-03-07,0
Colombia,2020-03-08,0.0027611677
Colombia,2020-03-09,0.0027611677
Colombia,2020-03-10,0.0027611677
Colombia,2020-03-11,0.008283503
Colombia,2020-03-12,0.008283503
Colombia,2020-03-13,0.02485051
Colombia,2020-03-14,0.03589518
Colombia,2020-03-15,0.041417517
Colombia,2020-03-16,0.06350686
Colombia,2020-03-17,0.12149138
Colombia,2020-03-18,0.17119241
Colombia,2020-03-19,0.2485051
Colombia,2020-03-20,0.2733556
Colombia,2020-03-21,0.3175343
Colombia,2020-03-22,0.4970102
Colombia,2020-03-23,0.47492087
Colombia,2020-03-24,0.6405909
Colombia,2020-03-25,0.66544145
Colombia,2020-03-26,0.7869328
Colombia,2020-03-27,0.9995427
Colombia,2020-03-28,1.0023038
Colombia,2020-03-29,1.4551355
Colombia,2020-03-30,1.645656
Colombia,2020-03-31,1.6590016
Colombia,2020-04-01,1.8748329
Colombia,2020-04-02,1.9908019
Colombia,2020-04-03,2.2066333
Colombia,2020-04-04,2.4482355
Colombia,2020-04-05,2.0423439
Colombia,2020-04-06,2.2678392
Colombia,2020-04-07,2.1619945
Colombia,2020-04-08,2.156472
Colombia,2020-04-09,2.4132607
Colombia,2020-04-10,2.730795
Colombia,2020-04-11,2.9323602
Colombia,2020-04-12,3.3299682
Colombia,2020-04-13,3.5978017
Colombia,2020-04-14,3.5646675
Colombia,2020-04-15,3.5149665
Colombia,2020-04-16,3.31064
Colombia,2020-04-17,2.9019873
Colombia,2020-04-18,2.7887795
Colombia,2020-04-19,2.667288
Colombia,2020-04-20,2.518185
Colombia,2020-04-21,2.8053465
Colombia,2020-04-22,3.1063137
Colombia,2020-04-23,3.2305663
Colombia,2020-04-24,3.4542208
Colombia,2020-04-25,3.6668308
Colombia,2020-04-26,3.9816039
Colombia,2020-04-27,4.199736
Colombia,2020-04-28,4.3819733
Colombia,2020-04-29,4.4730916
Colombia,2020-04-30,4.970102
Colombia,2020-05-01,5.1219664
Colombia,2020-05-02,5.3732324
Colombia,2020-05-03,5.8674817
Colombia,2020-05-04,5.9171824
Colombia,2020-05-05,6.320313
Colombia,2020-05-06,6.5605345
Colombia,2020-05-07,7.355751
Colombia,2020-05-08,6.632325
Colombia,2020-05-09,8.142684
Colombia,2020-05-10,8.407756
Colombia,2020-05-11,8.863349
Colombia,2020-05-12,9.374165
Colombia,2020-05-13,10.050651
Colombia,2020-05-14,10.103113
