Entity,Day,"Cases"
Peru,2020-03-01,0
Peru,2020-03-02,0
Peru,2020-03-03,0
Peru,2020-03-04,0
Peru,2020-03-05,0
Peru,2020-03-06,0
Peru,2020-03-07,0.038407695
Peru,2020-03-08,0.038407695
Peru,2020-03-09,0.046942737
Peru,2020-03-10,0.05547778
Peru,2020-03-11,0.064012825
Peru,2020-03-12,0.07254787
Peru,2020-03-13,0.11095556
Peru,2020-03-14,0.098152995
Peru,2020-03-15,0.16216582
Peru,2020-03-16,0.2731214
Peru,2020-03-17,0.32859915
Peru,2020-03-18,0.4523573
Peru,2020-03-19,0.9260522
Peru,2020-03-20,0.88764447
Peru,2020-03-21,1.2205112
Peru,2020-03-22,1.1564983
Peru,2020-03-23,1.0370078
Peru,2020-03-24,1.3015941
Peru,2020-03-25,1.2589189
Peru,2020-03-26,1.0498103
Peru,2020-03-27,1.4765625
Peru,2020-03-28,1.1180906
Peru,2020-03-29,1.3528043
Peru,2020-03-30,1.5064352
Peru,2020-03-31,1.9502574
Peru,2020-04-01,2.7696216
Peru,2020-04-02,3.5975208
Peru,2020-04-03,3.1707685
Peru,2020-04-04,3.559113
Peru,2020-04-05,4.096821
Peru,2020-04-06,4.587586
Peru,2020-04-07,6.0982885
Peru,2020-04-08,6.3842125
Peru,2020-04-09,6.9603276
Peru,2020-04-10,12.883648
Peru,2020-04-11,16.395819
Peru,2020-04-12,18.358877
Peru,2020-04-13,21.772896
Peru,2020-04-14,22.35328
Peru,2020-04-15,21.158373
Peru,2020-04-16,31.362017
Peru,2020-04-17,30.440231
Peru,2020-04-18,35.134506
Peru,2020-04-19,32.399025
Peru,2020-04-20,32.313675
Peru,2020-04-21,34.60533
Peru,2020-04-22,37.579796
Peru,2020-04-23,32.15151
Peru,2020-04-24,33.17998
Peru,2020-04-25,31.686348
Peru,2020-04-26,34.81871
Peru,2020-04-27,46.562927
Peru,2020-04-28,50.736565
Peru,2020-04-29,52.806313
Peru,2020-04-30,56.984215
Peru,2020-05-01,62.651485
Peru,2020-05-02,68.54493
Peru,2020-05-03,80.27635
Peru,2020-05-04,73.41418
Peru,2020-05-05,78.56934
Peru,2020-05-06,79.68743
Peru,2020-05-07,85.34617
Peru,2020-05-08,89.131454
Peru,2020-05-09,91.96509
Peru,2020-05-10,91.27375
Peru,2020-05-11,95.938156
Peru,2020-05-12,91.235344
Peru,2020-05-13,91.53834
Peru,2020-05-14,89.06318
Peru,2020-05-15,91.70477
Peru,2020-05-16,94.218346
Peru,2020-05-17,96.65083
Peru,2020-05-18,100.39771
Peru,2020-05-19,106.542946
Peru,2020-05-20,111.42926
Peru,2020-05-21,117.03252
Peru,2020-05-22,118.270096
Peru,2020-05-23,120.19475
Peru,2020-05-24,116.08939
Peru,2020-05-25,116.132065
Peru,2020-05-26,118.150604
Peru,2020-05-27,123.95443
Peru,2020-05-28,129.16934
Peru,2020-05-29,136.06993
Peru,2020-05-30,140.8709
Peru,2020-05-31,156.13582
Peru,2020-06-01,170.34666
Peru,2020-06-02,189.97726
Peru,2020-06-03,196.56204
Peru,2020-06-04,192.60605
Peru,2020-06-05,183.54184
Peru,2020-06-06,176.75648
Peru,2020-06-07,166.9241
Peru,2020-06-08,154.00206
Peru,2020-06-09,136.72713
Peru,2020-06-10,126.56189
Peru,2020-06-11,123.12653
Peru,2020-06-12,127.63731
Peru,2020-06-13,134.811
Peru,2020-06-14,142.31758
Peru,2020-06-15,142.42427
Peru,2020-06-16,141.77133
Peru,2020-06-17,142.0914
Peru,2020-06-18,142.62057
Peru,2020-06-19,136.92343
Peru,2020-06-20,126.31864
Peru,2020-06-21,115.97417
Peru,2020-06-22,111.83467
Peru,2020-06-23,107.54154
Peru,2020-06-24,104.36224
Peru,2020-06-25,100.943954
Peru,2020-06-26,101.48593
Peru,2020-06-27,103.33377
Peru,2020-06-28,104.29396
Peru,2020-06-29,105.19868
Peru,2020-06-30,104.481735
Peru,2020-07-01,106.338104
Peru,2020-07-02,104.14033
Peru,2020-07-03,101.51581
Peru,2020-07-04,99.86854
Peru,2020-07-05,99.15587
Peru,2020-07-06,98.54134
Peru,2020-07-07,99.428986
Peru,2020-07-08,99.59542
Peru,2020-07-09,102.69791
Peru,2020-07-10,104.27262
Peru,2020-07-11,104.3153
Peru,2020-07-12,102.62109
Peru,2020-07-13,100.84154
Peru,2020-07-14,100.74765
Peru,2020-07-15,104.212875
Peru,2020-07-16,104.93409
Peru,2020-07-17,105.890015
Peru,2020-07-18,107.27696
Peru,2020-07-19,110.4904
Peru,2020-07-20,114.326904
Peru,2020-07-21,116.34971
Peru,2020-07-22,117.60436
Peru,2020-07-23,120.42946
Peru,2020-07-24,123.01558
Peru,2020-07-25,125.93456
Peru,2020-07-26,129.83508
Peru,2020-07-27,129.66438
Peru,2020-07-28,133.17654
Peru,2020-07-29,136.71432
Peru,2020-07-30,140.47827
Peru,2020-07-31,145.66331
Peru,2020-08-01,155.32072
Peru,2020-08-02,165.46889
Peru,2020-08-03,180.5119
