Entity,Day,Cases
Spain,2020-03-01,0.38530615
Spain,2020-03-02,0.38530615
Spain,2020-03-03,0.38530615
Spain,2020-03-04,0.38530615
Spain,2020-03-05,0.38530615
Spain,2020-03-06,0.38530615
Spain,2020-03-07,0.38530615
Spain,2020-03-08,4.250315
Spain,2020-03-09,4.250315
Spain,2020-03-10,4.250315
Spain,2020-03-11,4.250315
Spain,2020-03-12,4.250315
Spain,2020-03-13,4.250315
Spain,2020-03-14,4.250315
Spain,2020-03-15,34.656647
Spain,2020-03-16,34.656647
Spain,2020-03-17,34.656647
Spain,2020-03-18,34.656647
Spain,2020-03-19,34.656647
Spain,2020-03-20,34.656647
Spain,2020-03-21,34.656647
Spain,2020-03-22,108.56075
Spain,2020-03-23,108.56075
Spain,2020-03-24,108.56075
Spain,2020-03-25,108.56075
Spain,2020-03-26,108.56075
Spain,2020-03-27,108.56075
Spain,2020-03-28,108.56075
Spain,2020-03-29,177.25278
Spain,2020-03-30,177.25278
Spain,2020-03-31,177.25278
Spain,2020-04-01,177.25278
Spain,2020-04-02,177.25278
Spain,2020-04-03,177.25278
Spain,2020-04-04,177.25278
Spain,2020-04-05,132.62596
Spain,2020-04-06,132.62596
Spain,2020-04-07,132.62596
Spain,2020-04-08,132.62596
Spain,2020-04-09,132.62596
Spain,2020-04-10,132.62596
Spain,2020-04-11,132.62596
Spain,2020-04-12,91.3534
Spain,2020-04-13,91.3534
Spain,2020-04-14,91.3534
Spain,2020-04-15,91.3534
Spain,2020-04-16,91.3534
Spain,2020-04-17,91.3534
Spain,2020-04-18,91.3534
Spain,2020-04-19,63.470974
Spain,2020-04-20,63.470974
Spain,2020-04-21,63.470974
Spain,2020-04-22,63.470974
Spain,2020-04-23,63.470974
Spain,2020-04-24,63.470974
Spain,2020-04-25,63.470974
Spain,2020-04-26,43.530636
Spain,2020-04-27,43.530636
Spain,2020-04-28,43.530636
Spain,2020-04-29,43.530636
Spain,2020-04-30,43.530636
Spain,2020-05-01,43.530636
Spain,2020-05-02,43.530636
Spain,2020-05-03,24.190655
Spain,2020-05-04,24.190655
Spain,2020-05-05,24.190655
Spain,2020-05-06,24.190655
Spain,2020-05-07,24.190655
Spain,2020-05-08,24.190655
Spain,2020-05-09,24.190655
Spain,2020-05-10,16.798153
Spain,2020-05-11,16.798153
Spain,2020-05-12,16.798153
Spain,2020-05-13,16.798153
Spain,2020-05-14,16.798153
Spain,2020-05-15,16.798153
Spain,2020-05-16,16.798153
Spain,2020-05-17,16.123121
Spain,2020-05-18,16.123121
